DATE,TEDRATE
2008-08-12,0.97
2008-08-13,0.98
2008-08-14,0.96
2008-08-15,1.00
2008-08-18,1.02
2008-08-19,1.04
2008-08-20,1.13
2008-08-21,1.12
2008-08-22,1.14
2008-08-25,.
2008-08-26,1.13
2008-08-27,1.17
2008-08-28,1.10
2008-08-29,1.12
2008-09-01,.
2008-09-02,1.12
2008-09-03,1.14
2008-09-04,1.16
2008-09-05,1.16
2008-09-08,1.13
2008-09-09,1.19
2008-09-10,1.20
2008-09-11,1.24
2008-09-12,1.36
2008-09-15,1.79
2008-09-16,2.04
2008-09-17,3.03
2008-09-18,2.97
2008-09-19,2.24
2008-09-22,1.91
2008-09-23,2.40
2008-09-24,2.98
2008-09-25,3.02
2008-09-26,2.90
2008-09-29,2.92
2008-09-30,3.15
2008-10-01,3.31
2008-10-02,3.59
2008-10-03,3.83
2008-10-06,3.75
2008-10-07,3.51
2008-10-08,3.85
2008-10-09,4.17
2008-10-10,4.58
2008-10-13,.
2008-10-14,4.30
2008-10-15,4.33
2008-10-16,4.05
2008-10-17,3.62
2008-10-20,2.82
2008-10-21,2.74
2008-10-22,2.51
2008-10-23,2.58
2008-10-24,2.66
2008-10-27,2.67
2008-10-28,2.7
2008-10-29,2.81
2008-10-30,2.79
2008-10-31,2.59
2008-11-03,2.37
2008-11-04,2.23
2008-11-05,2.12
2008-11-06,2.08
2008-11-07,1.99
2008-11-10,1.94
2008-11-11,.
2008-11-12,1.95
2008-11-13,1.94
2008-11-14,2.10
2008-11-17,2.12
2008-11-18,2.10
2008-11-19,2.10
2008-11-20,2.12
2008-11-21,2.14
2008-11-24,2.04
2008-11-25,2.10
2008-11-26,2.13
2008-11-27,.
2008-11-28,2.21
2008-12-01,2.15
2008-12-02,2.15
2008-12-03,2.18
2008-12-04,2.17
2008-12-05,2.17
2008-12-08,2.16
2008-12-09,2.13
2008-12-10,2.10
2008-12-11,1.99
2008-12-12,1.90
2008-12-15,1.83
2008-12-16,1.81
2008-12-17,1.53
2008-12-18,1.52
2008-12-19,1.48
2008-12-22,1.46
2008-12-23,1.45
2008-12-24,1.47
2008-12-25,.
2008-12-26,.
2008-12-29,1.40
2008-12-30,1.34
2008-12-31,1.32
2009-01-01,.
2009-01-02,1.33
2009-01-05,1.28
2009-01-06,1.27
2009-01-07,1.29
2009-01-08,1.26
2009-01-09,1.19
2009-01-12,1.04
2009-01-13,0.98
2009-01-14,0.96
2009-01-15,0.98
2009-01-16,1.02
2009-01-19,.
2009-01-20,0.99
2009-01-21,1.01
2009-01-22,1.06
2009-01-23,1.06
2009-01-26,1.03
2009-01-27,1.05
2009-01-28,0.98
2009-01-29,0.94
2009-01-30,0.94
2009-02-02,0.96
2009-02-03,0.91
2009-02-04,0.94
2009-02-05,0.95
2009-02-06,0.96
2009-02-09,0.91
2009-02-10,0.91
2009-02-11,0.93
2009-02-12,0.94
2009-02-13,0.95
2009-02-16,.
2009-02-17,0.93
2009-02-18,0.94
2009-02-19,0.95
2009-02-20,0.98
2009-02-23,0.95
2009-02-24,0.93
2009-02-25,0.96
2009-02-26,0.99
2009-02-27,1.00
2009-03-02,0.99
2009-03-03,1.00
2009-03-04,1.02
2009-03-05,1.08
2009-03-06,1.09
2009-03-09,1.08
2009-03-10,1.09
2009-03-11,1.10
2009-03-12,1.11
2009-03-13,1.13
2009-03-16,1.07
2009-03-17,1.06
2009-03-18,1.08
2009-03-19,1.03
2009-03-20,1.01
2009-03-23,1.00
2009-03-24,1.02
2009-03-25,1.04
2009-03-26,1.08
2009-03-27,1.09
2009-03-30,1.03
2009-03-31,0.98
2009-04-01,0.96
2009-04-02,0.95
2009-04-03,0.95
2009-04-06,0.96
2009-04-07,0.95
2009-04-08,0.96
2009-04-09,0.95
2009-04-10,.
2009-04-13,.
2009-04-14,0.95
2009-04-15,0.96
2009-04-16,0.98
2009-04-17,0.96
2009-04-20,0.96
2009-04-21,0.95
2009-04-22,0.96
2009-04-23,0.99
2009-04-24,0.97
2009-04-27,0.92
2009-04-28,0.91
2009-04-29,0.92
2009-04-30,0.88
2009-05-01,0.86
2009-05-04,.
2009-05-05,0.80
2009-05-06,0.78
2009-05-07,0.78
2009-05-08,0.76
2009-05-11,0.73
2009-05-12,0.72
2009-05-13,0.71
2009-05-14,0.69
2009-05-15,0.66
2009-05-18,0.60
2009-05-19,0.57
2009-05-20,0.54
2009-05-21,0.47
2009-05-22,0.48
2009-05-25,.
2009-05-26,0.48
2009-05-27,0.50
2009-05-28,0.52
2009-05-29,0.52
2009-06-01,0.52
2009-06-02,0.51
2009-06-03,0.50
2009-06-04,0.49
2009-06-05,0.44
2009-06-08,0.46
2009-06-09,0.46
2009-06-10,0.46
2009-06-11,0.44
2009-06-12,0.44
2009-06-15,0.44
2009-06-16,0.44
2009-06-17,0.44
2009-06-18,0.43
2009-06-19,0.43
2009-06-22,0.41
2009-06-23,0.41
2009-06-24,0.41
2009-06-25,0.42
2009-06-26,0.41
2009-06-29,0.40
2009-06-30,0.4
2009-07-01,0.42
2009-07-02,0.41
2009-07-03,.
2009-07-06,0.36
2009-07-07,0.35
2009-07-08,0.34
2009-07-09,0.32
2009-07-10,0.32
2009-07-13,0.33
2009-07-14,0.33
2009-07-15,0.33
2009-07-16,0.32
2009-07-17,0.33
2009-07-20,0.32
2009-07-21,0.31
2009-07-22,0.31
2009-07-23,0.31
2009-07-24,0.32
2009-07-27,0.31
2009-07-28,0.30
2009-07-29,0.30
2009-07-30,0.30
2009-07-31,0.30
2009-08-03,0.28
2009-08-04,0.29
2009-08-05,0.29
2009-08-06,0.29
2009-08-07,0.28
2009-08-10,0.27
2009-08-11,0.27
2009-08-12,0.28
2009-08-13,0.27
2009-08-14,0.25
2009-08-17,0.25
2009-08-18,0.24
2009-08-19,0.25
2009-08-20,0.24
2009-08-21,0.22
2009-08-24,0.22
2009-08-25,0.21
2009-08-26,0.22
2009-08-27,0.21
2009-08-28,0.20
2009-08-31,.
2009-09-01,0.19
2009-09-02,0.19
2009-09-03,0.17
2009-09-04,0.17
2009-09-07,.
2009-09-08,0.16
2009-09-09,0.16
2009-09-10,0.16
2009-09-11,0.16
2009-09-14,0.15
2009-09-15,0.16
2009-09-16,0.19
2009-09-17,0.19
2009-09-18,0.21
2009-09-21,0.18
2009-09-22,0.18
2009-09-23,0.18
2009-09-24,0.18
2009-09-25,0.18
2009-09-28,0.17
2009-09-29,0.16
2009-09-30,0.15
2009-10-01,0.18
2009-10-02,0.18
2009-10-05,0.20
2009-10-06,0.20
2009-10-07,0.19
2009-10-08,0.22
2009-10-09,0.21
2009-10-12,.
2009-10-13,0.21
2009-10-14,0.21
2009-10-15,0.21
2009-10-16,0.21
2009-10-19,0.20
2009-10-20,0.20
2009-10-21,0.21
2009-10-22,0.22
2009-10-23,0.21
2009-10-26,0.20
2009-10-27,0.20
2009-10-28,0.21
2009-10-29,0.22
2009-10-30,0.23
2009-11-02,0.22
2009-11-03,0.22
2009-11-04,0.23
2009-11-05,0.24
2009-11-06,0.21
2009-11-09,0.20
2009-11-10,0.20
2009-11-11,.
2009-11-12,0.20
2009-11-13,0.21
2009-11-16,0.20
2009-11-17,0.21
2009-11-18,0.23
2009-11-19,0.25
2009-11-20,0.24
2009-11-23,0.21
2009-11-24,0.21
2009-11-25,0.21
2009-11-26,.
2009-11-27,0.23
2009-11-30,0.20
2009-12-01,0.20
2009-12-02,0.2
2009-12-03,0.20
2009-12-04,0.20
2009-12-07,0.22
2009-12-08,0.23
2009-12-09,0.23
2009-12-10,0.23
2009-12-11,0.22
2009-12-14,0.21
2009-12-15,0.20
2009-12-16,0.21
2009-12-17,0.21
2009-12-18,0.20
2009-12-21,0.17
2009-12-22,0.17
2009-12-23,0.18
2009-12-24,0.20
2009-12-25,.
2009-12-28,.
2009-12-29,0.15
2009-12-30,0.20
2009-12-31,0.19
