DATE,VIXCLS
2009-04-16,35.79
2009-04-17,33.94
2009-04-20,39.18
2009-04-21,37.14
2009-04-22,38.10
2009-04-23,37.15
2009-04-24,36.82
2009-04-27,38.32
2009-04-28,37.95
2009-04-29,36.08
2009-04-30,36.50
2009-05-01,35.30
2009-05-04,34.53
2009-05-05,33.36
2009-05-06,32.45
2009-05-07,33.44
2009-05-08,32.05
2009-05-11,32.87
2009-05-12,31.80
2009-05-13,33.65
2009-05-14,31.37
2009-05-15,33.12
2009-05-18,30.24
2009-05-19,28.80
2009-05-20,29.03
2009-05-21,31.35
2009-05-22,32.63
2009-05-25,.
2009-05-26,30.62
2009-05-27,32.36
2009-05-28,31.67
2009-05-29,28.92
2009-06-01,30.04
2009-06-02,29.63
2009-06-03,31.02
2009-06-04,30.18
2009-06-05,29.62
2009-06-08,29.77
2009-06-09,28.27
2009-06-10,28.46
2009-06-11,28.11
2009-06-12,28.15
2009-06-15,30.81
2009-06-16,32.68
2009-06-17,31.54
2009-06-18,30.03
2009-06-19,27.99
2009-06-22,31.17
2009-06-23,30.58
2009-06-24,29.05
2009-06-25,26.36
2009-06-26,25.93
2009-06-29,25.35
2009-06-30,26.35
2009-07-01,26.22
2009-07-02,27.95
2009-07-03,.
2009-07-06,29.00
2009-07-07,30.85
2009-07-08,31.30
2009-07-09,29.78
2009-07-10,29.02
2009-07-13,26.31
2009-07-14,25.02
2009-07-15,25.89
2009-07-16,25.42
2009-07-17,24.34
2009-07-20,24.40
2009-07-21,23.87
2009-07-22,23.47
2009-07-23,23.43
2009-07-24,23.09
2009-07-27,24.28
2009-07-28,25.01
2009-07-29,25.61
2009-07-30,25.40
2009-07-31,25.92
2009-08-03,25.56
2009-08-04,24.89
2009-08-05,24.90
2009-08-06,25.67
2009-08-07,24.76
2009-08-10,24.99
2009-08-11,25.99
2009-08-12,25.45
2009-08-13,24.71
2009-08-14,24.27
2009-08-17,27.89
2009-08-18,26.18
2009-08-19,26.26
2009-08-20,25.09
2009-08-21,25.01
2009-08-24,25.14
2009-08-25,24.92
2009-08-26,24.95
2009-08-27,24.68
2009-08-28,24.76
2009-08-31,26.01
2009-09-01,29.15
2009-09-02,28.90
2009-09-03,27.10
2009-09-04,25.26
2009-09-07,.
2009-09-08,25.62
2009-09-09,24.32
2009-09-10,23.55
2009-09-11,24.15
2009-09-14,23.86
2009-09-15,23.42
2009-09-16,23.69
2009-09-17,23.65
2009-09-18,23.92
2009-09-21,24.06
2009-09-22,23.08
2009-09-23,23.49
2009-09-24,24.95
2009-09-25,25.61
2009-09-28,24.88
2009-09-29,25.19
2009-09-30,25.61
2009-10-01,28.27
2009-10-02,28.68
2009-10-05,26.84
2009-10-06,25.70
2009-10-07,24.68
2009-10-08,24.18
2009-10-09,23.12
2009-10-12,23.01
2009-10-13,22.99
2009-10-14,22.86
2009-10-15,21.72
2009-10-16,21.43
2009-10-19,21.49
2009-10-20,20.90
2009-10-21,22.22
2009-10-22,20.69
2009-10-23,22.27
2009-10-26,24.31
2009-10-27,24.83
2009-10-28,27.91
2009-10-29,24.76
2009-10-30,30.69
2009-11-02,29.78
2009-11-03,28.81
2009-11-04,27.72
2009-11-05,25.43
2009-11-06,24.19
2009-11-09,23.15
2009-11-10,22.84
2009-11-11,23.04
2009-11-12,24.24
2009-11-13,23.36
2009-11-16,22.89
2009-11-17,22.41
2009-11-18,21.63
2009-11-19,22.63
2009-11-20,22.19
2009-11-23,21.16
2009-11-24,20.47
2009-11-25,20.48
2009-11-26,.
2009-11-27,24.85
2009-11-30,24.51
2009-12-01,21.92
2009-12-02,21.12
2009-12-03,22.46
2009-12-04,21.25
2009-12-07,22.10
2009-12-08,23.69
2009-12-09,22.66
2009-12-10,22.32
2009-12-11,21.59
2009-12-14,21.15
2009-12-15,21.49
2009-12-16,20.54
2009-12-17,22.51
2009-12-18,21.68
2009-12-21,20.49
2009-12-22,19.54
2009-12-23,19.71
2009-12-24,19.47
2009-12-25,.
2009-12-28,19.93
2009-12-29,20.01
2009-12-30,19.96
2009-12-31,21.68
